08-41,08-79
01-71,02-71
11-74,74-75
44-96,43-96
79-79,03-78
67-86,50-93
15-42,41-93
21-98,20-99
42-53,13-41
51-80,38-79
13-13,13-93
14-20,20-66
34-64,33-34
93-94,56-93
28-59,58-90
09-58,04-08
39-79,32-87
60-62,48-61
01-76,21-75
01-11,02-12
07-85,04-07
05-69,26-69
10-95,11-96
73-99,65-97
06-67,01-35
26-48,29-44
03-85,01-03
51-53,14-52
38-64,37-70
19-30,30-55
73-77,72-73
28-65,28-66
30-60,47-87
32-32,30-34
82-96,03-97
12-63,13-63
42-91,19-91
38-45,45-80
04-98,14-76
22-91,23-90
09-84,10-41
79-98,48-92
41-45,41-46
15-94,30-89
13-84,25-83
60-68,37-69
35-86,07-87
32-78,31-78
04-98,04-99
20-20,20-93
05-88,87-88
09-42,04-12
44-97,54-86
32-82,06-26
39-41,40-42
10-76,10-75
05-99,02-99
48-48,47-99
01-01,01-91
60-75,59-61
31-32,32-33
21-88,22-88
11-42,11-11
57-75,74-95
94-94,94-94
60-84,58-86
18-87,11-18
14-34,29-33
64-90,22-69
33-95,71-96
10-93,09-93
18-18,18-68
03-94,93-93
38-38,38-78
79-81,67-86
24-73,03-73
93-94,46-94
10-97,11-35
05-93,04-98
03-99,47-97
31-60,59-86
01-67,45-68
22-84,59-83
24-72,23-73
15-78,16-77
90-90,85-92
43-91,44-92
02-88,86-89
04-38,04-37
43-87,44-87
04-91,05-91
23-37,27-46
01-04,03-99
77-77,78-81
33-35,33-37
80-87,81-81
05-52,06-99
66-66,52-66
06-96,16-92
16-89,04-98
60-60,60-97
05-62,01-06
38-91,38-38
04-14,13-57
07-53,07-54
01-97,13-97
02-90,03-46
19-19,20-96
03-33,33-33
28-42,29-42
25-76,47-76
16-24,25-44
55-71,55-71
29-76,28-89
17-90,17-89
01-98,10-99
06-43,22-42
07-95,67-95
04-97,97-98
62-94,62-95
04-86,05-87
06-83,06-89
18-26,26-69
95-98,10-95
07-86,01-07
91-92,27-91
03-75,08-87
38-53,30-52
11-85,09-12
39-83,39-83
62-94,10-63
12-35,35-97
15-17,16-87
02-93,01-92
33-86,34-87
04-19,19-92
05-70,69-90
10-97,05-97
82-83,41-82
16-29,16-29
01-82,05-81
62-71,61-72
06-99,08-99
10-44,06-10
14-45,13-92
36-37,37-91
11-41,22-68
51-78,79-95
19-36,28-36
04-91,09-92
03-98,03-03
01-44,02-43
04-22,04-22
24-89,42-89
72-98,57-73
28-92,04-29
60-91,25-61
02-89,05-88
71-73,03-71
17-99,24-98
88-96,03-88
39-74,75-75
52-92,04-93
18-56,53-97
27-75,16-71
81-94,01-82
65-67,15-66
77-79,77-79
16-33,17-34
83-87,29-84
84-84,20-85
26-28,27-82
06-66,66-66
08-72,09-59
09-99,10-97
48-48,47-47
07-58,06-57
46-58,23-70
02-02,02-93
20-33,20-20
07-20,08-15
17-67,16-17
02-21,01-99
05-05,04-72
79-95,09-96
07-38,07-38
08-98,06-99
68-84,10-68
19-35,02-34
05-43,03-09
15-62,14-14
82-95,48-96
75-77,34-76
33-65,65-66
95-95,19-95
12-88,13-87
28-68,25-30
12-37,08-91
38-63,16-63
41-58,53-57
12-42,29-71
68-96,68-96
06-77,78-78
22-37,23-36
65-74,64-75
36-88,35-99
03-49,13-32
84-91,01-84
13-66,13-66
09-92,10-91
26-26,26-27
10-17,15-35
68-82,59-83
27-69,26-58
82-92,10-81
12-18,12-18
29-35,29-46
60-71,71-71
06-80,79-95
02-12,01-03
19-77,20-77
95-97,88-95
55-79,21-54
03-04,09-97
23-98,23-98
01-04,03-47
02-26,01-02
22-72,09-22
03-84,13-83
43-45,18-44
49-53,51-51
15-85,16-85
07-21,04-21
01-24,01-25
16-86,16-16
79-87,80-86
01-95,57-97
04-99,29-99
97-98,06-98
46-78,53-83
28-82,51-93
59-95,32-96
11-32,23-33
13-29,24-47
07-74,11-73
28-36,36-89
17-83,18-82
02-85,10-66
04-79,04-78
36-62,61-79
50-52,28-51
22-48,03-28
51-92,68-91
29-91,28-92
09-52,08-53
07-97,55-96
16-59,15-92
98-98,03-97
67-72,15-72
15-52,05-77
01-78,03-79
06-66,03-03
48-64,63-63
06-97,06-97
27-27,19-27
02-72,01-71
47-59,48-79
12-61,13-65
50-57,38-62
30-73,65-70
79-94,79-93
81-97,98-98
26-78,17-26
46-57,29-89
86-95,29-95
57-64,43-64
14-93,71-97
04-99,66-98
77-87,17-78
25-26,26-96
34-73,33-73
36-57,35-62
41-73,55-91
41-48,12-47
21-83,20-82
15-35,14-73
19-93,93-99
50-69,51-95
59-66,66-66
05-93,92-92
37-37,37-94
38-39,38-54
08-49,27-57
43-83,79-82
64-66,13-70
40-92,92-97
13-67,51-73
29-88,30-71
16-96,17-97
25-37,27-77
20-57,03-36
91-96,63-99
21-84,44-83
04-87,02-04
09-31,31-79
33-82,33-33
04-65,03-64
18-71,19-22
18-63,10-18
87-92,88-93
62-63,61-72
20-49,49-68
77-83,64-84
10-79,08-11
33-59,34-49
05-85,11-85
95-96,07-96
59-60,35-59
19-90,07-13
16-84,16-47
61-89,88-90
24-52,51-51
51-51,50-93
39-77,18-96
49-90,90-92
37-76,75-76
12-20,21-83
02-94,03-95
83-83,83-88
03-99,02-97
48-72,72-78
14-99,13-99
10-11,01-10
04-99,05-92
04-81,71-81
05-05,05-93
17-53,05-53
38-91,37-37
27-71,26-70
01-98,73-82
13-96,07-14
14-82,14-14
05-36,04-46
09-75,09-93
83-83,44-82
34-95,23-35
58-87,58-88
70-98,69-69
01-15,02-14
22-22,22-24
08-93,08-92
50-60,02-55
39-78,40-78
55-92,31-92
03-88,01-50
23-65,23-66
63-64,17-64
15-31,11-91
19-97,18-96
12-89,12-88
06-26,07-10
45-70,45-69
53-79,77-79
31-63,30-30
66-68,07-67
22-85,43-85
09-09,09-82
01-30,04-80
36-58,36-37
15-84,14-83
41-42,40-71
38-73,37-98
01-61,02-91
71-73,71-73
31-80,31-80
12-99,13-99
01-83,01-83
09-92,09-93
03-35,04-34
15-64,19-63
36-36,36-84
15-43,14-57
96-98,04-97
36-46,45-79
27-71,27-27
06-06,06-53
02-55,10-19
08-48,02-53
17-99,16-97
13-64,12-65
75-86,76-85
63-64,03-63
05-87,03-05
56-91,41-91
07-23,07-22
03-88,03-86
03-05,05-53
01-94,02-95
83-85,81-84
98-98,82-99
31-68,04-68
05-95,12-96
22-35,35-91
01-93,03-93
33-86,28-39
24-95,95-95
89-91,10-90
05-77,04-76
02-49,21-49
67-91,54-91
51-76,51-51
70-74,59-74
22-32,31-31
22-53,21-84
39-63,25-27
05-95,02-05
56-66,67-89
60-60,58-61
09-36,01-36
16-35,15-34
34-69,69-70
52-84,54-97
10-84,36-83
96-97,24-95
04-99,02-05
34-90,33-35
87-97,97-99
29-38,30-39
67-97,66-67
64-83,76-94
04-94,02-05
67-87,14-96
03-94,07-86
69-80,74-79
67-82,66-66
03-85,29-85
95-97,94-96
81-85,03-81
13-78,19-77
05-35,16-35
14-42,14-91
21-81,03-88
01-07,07-89
18-70,17-18
47-96,96-97
69-93,73-92
48-48,11-48
36-95,35-35
67-67,11-66
03-86,05-85
48-89,02-07
09-58,10-57
69-70,69-95
36-97,96-98
09-43,09-92
10-69,12-69
17-76,76-77
02-99,98-98
30-31,29-33
38-64,41-64
01-91,01-92
07-16,02-16
01-99,01-01
11-96,12-95
14-93,13-93
10-87,02-10
10-66,10-96
17-87,16-16
14-58,57-59
19-95,20-94
43-59,22-44
84-97,84-98
14-77,34-77
45-69,44-46
52-87,51-68
03-07,06-56
14-51,46-50
44-66,49-67
09-12,01-11
86-90,86-90
32-41,29-42
53-80,11-73
93-93,13-94
39-84,40-73
16-71,71-72
09-94,09-94
44-91,03-98
18-78,18-98
19-48,18-47
23-77,68-77
20-68,63-67
48-90,48-97
40-49,39-71
04-15,15-99
76-77,60-76
12-56,17-57
27-92,28-93
13-74,12-14
04-97,05-66
50-50,50-51
66-66,44-66
58-68,23-52
47-76,48-76
08-96,48-98
43-92,07-92
33-54,15-97
72-99,71-98
13-76,31-36
02-14,11-13
08-70,07-09
08-54,08-55
93-96,94-96
31-74,73-73
65-74,53-74
46-93,45-94
31-99,08-99
06-37,10-37
21-82,22-83
55-73,17-20
65-79,66-72
15-43,14-44
01-96,06-97
03-98,05-99
24-80,18-71
56-92,57-80
12-54,40-83
31-80,16-81
35-48,22-85
02-90,01-89
02-02,02-59
87-96,51-87
36-99,37-99
08-90,37-70
14-14,14-76
39-99,20-71
52-65,52-65
31-48,31-48
57-57,57-88
68-92,68-81
05-98,06-98
87-96,25-88
06-86,87-87
69-88,33-84
39-86,40-40
77-82,77-87
11-88,97-97
29-87,87-89
40-55,39-40
96-97,47-95
05-85,85-85
11-93,93-94
29-96,89-95
06-69,26-92
20-76,15-20
39-40,38-39
07-33,06-34
34-78,35-37
18-67,09-67
07-99,06-99
64-88,47-64
17-96,18-93
06-84,04-85
21-21,21-96
06-42,05-98
35-97,38-85
31-94,09-57
59-73,62-73
05-97,05-97
16-53,16-32
08-42,07-43
10-94,11-60
42-50,17-80
54-57,57-77
37-89,88-96
24-79,20-79
07-91,24-96
24-89,88-94
28-82,10-81
03-03,03-94
89-93,92-92
34-99,34-34
22-22,23-63
10-92,03-10
77-77,77-84
32-59,28-42
54-86,55-71
42-50,11-46
88-88,06-90
70-74,72-72
01-01,01-50
46-50,09-47
95-95,03-96
93-95,12-94
22-85,14-15
23-73,22-92
04-86,04-86
75-90,75-75
56-56,55-55
31-91,32-80
64-78,03-79
16-85,15-53
61-64,62-65
86-86,23-87
27-96,68-80
18-98,18-51
06-92,49-98
23-23,23-28
13-74,05-14
15-93,16-91
02-97,12-97
23-92,17-24
56-76,75-75
38-82,39-83
15-97,97-98
44-86,45-69
79-85,35-86
19-98,20-92
59-59,07-59
27-91,28-88
11-71,66-70
03-79,05-78
22-77,21-76
92-94,12-93
06-85,06-06
14-81,14-81
05-06,08-44
34-37,36-36
01-53,29-87
40-72,67-72
04-81,01-97
27-76,10-58
32-75,02-40
15-86,86-86
42-90,02-90
21-73,20-73
84-99,03-97
21-81,02-22
75-99,53-76
05-96,05-99
68-70,21-69
24-24,23-47
07-08,07-73
06-06,06-66
31-37,30-36
04-91,05-90
16-76,18-47
44-97,25-97
48-92,47-95
45-62,45-62
62-93,48-93
53-91,77-98
54-70,12-69
06-20,17-39
46-46,12-47
04-04,05-61
09-42,43-88
97-99,01-97
11-90,89-89
09-15,04-14
15-81,04-80
31-43,44-68
04-09,01-10
47-48,32-47
22-47,46-55
10-12,11-86
03-04,04-41
64-84,18-85
15-39,14-47
15-51,11-12
10-57,09-56
16-29,15-30
38-57,10-39
20-87,20-82
01-43,03-43
09-90,07-89
23-88,25-89
50-92,51-91
13-94,94-96
02-92,47-91
22-95,01-23
22-73,21-22
03-05,04-33
13-75,12-76
18-26,17-39
06-72,10-71
17-76,03-41
24-96,17-96
50-57,51-55
97-99,80-98
05-66,05-78
08-57,14-56
20-21,20-97
22-79,21-79
02-99,99-99
95-95,38-96
34-95,35-94
14-27,06-13
19-87,18-88
64-66,60-66
38-85,37-38
88-97,04-87
01-99,02-92
08-12,12-92
25-60,26-59
38-74,19-38
45-76,15-46
60-91,60-91
81-81,12-82
19-20,20-61
22-97,19-98
13-57,28-65
15-90,12-15
40-40,23-40
27-92,17-92
07-99,08-77
06-83,16-83
53-70,37-69
66-93,42-71
73-92,89-92
05-87,06-39
09-99,99-99
27-80,81-81
07-58,58-58
09-85,50-86
39-94,14-88
13-40,02-39
02-89,01-28
43-89,72-88
23-41,24-24
23-34,34-83
19-64,19-20
60-97,61-89
04-57,56-56
08-89,40-90
30-48,17-30
03-93,02-92
01-10,10-74
01-24,05-56
19-19,18-47
03-10,05-83
50-52,48-51
13-75,13-13
10-10,16-61
27-92,27-88
45-93,46-94
47-61,16-61
76-77,76-83
32-84,84-87
86-86,87-87
07-95,08-73
08-69,20-68
44-95,44-95
11-39,12-40
63-99,70-99
36-45,35-49
06-55,55-75
91-93,91-93
61-75,49-75
86-98,87-99
46-98,10-14
95-95,74-96
05-92,91-99
02-92,02-02
01-57,11-56
97-97,14-98
08-74,74-83
19-67,61-66
94-94,24-95
05-09,69-90
30-66,30-65
02-99,01-98
38-94,63-73
01-02,01-99
43-93,20-90
42-89,40-42
22-88,52-87
78-79,23-77
22-89,21-89
12-94,11-80
02-07,06-84
20-99,20-20
08-93,38-99
16-60,17-61
41-41,41-83
17-47,04-57
18-56,18-56
01-57,01-57
77-87,01-77
62-91,63-92
06-90,10-91
02-04,03-97
53-67,54-62
29-30,05-30
51-51,07-50
02-87,01-88
13-73,55-87
08-29,07-29
64-97,15-98
23-84,22-23
07-10,03-11
19-35,35-78
49-96,50-97
16-94,17-94
24-71,09-82
29-88,09-29
24-52,43-51
69-73,08-82
01-03,02-91
06-85,07-07
04-86,16-79
04-04,06-50
17-83,82-88
27-81,28-67
82-85,56-84
39-40,40-86
02-48,08-49
08-79,07-08
62-86,61-85
65-67,47-66
48-97,49-97
41-86,66-85
18-41,17-40
40-85,67-76
77-95,58-91
39-66,31-40
04-07,07-98
33-96,44-96
03-11,03-03
69-70,08-70
97-97,03-97
32-94,81-93
21-70,20-69
47-56,28-55
01-01,01-33
36-71,35-86
18-88,19-88
04-99,08-96
13-79,14-62
11-71,11-79
69-92,68-92
18-88,88-94
26-92,26-92
15-69,16-68
59-95,95-98
40-53,39-54
53-64,32-53
17-97,16-84
28-99,07-88
49-81,49-69
22-98,97-98
66-94,05-97
03-70,01-76
05-93,02-25
46-66,65-65
69-70,11-99
55-93,56-77
11-92,12-93
34-96,95-96
01-03,03-15
49-88,19-88
80-84,63-85
07-83,56-99
14-62,55-67
22-84,23-66
35-89,31-35
33-81,07-81
78-85,77-86
38-44,46-80
72-83,12-73
62-92,65-92
60-89,26-60
48-59,41-57
55-83,56-84
27-89,48-50
05-66,05-84
30-84,21-84
23-62,22-62
55-93,37-94
06-47,15-46
28-28,29-39
02-03,13-13
46-81,18-81
37-88,38-89
07-53,17-52
32-67,18-81
22-22,22-24
02-71,15-45
01-92,01-92
14-89,10-91
09-79,12-78
04-15,03-92
49-68,29-69
01-02,03-51
27-45,28-44
22-99,21-99
66-70,64-69
97-98,67-98
47-98,47-57
47-98,48-79
07-31,09-34
08-84,08-08
20-92,06-20
14-90,05-22
23-68,29-87
03-42,41-71
80-80,81-96
59-80,79-95
17-86,35-86
32-92,91-91
72-77,53-78
20-23,23-95
94-97,08-94
25-34,26-33
12-96,13-98
73-95,73-73
43-50,44-50
05-99,01-05
63-94,63-94
40-52,41-42
25-25,25-78
06-10,09-97
23-26,26-77
48-79,48-48
26-96,88-90
06-11,09-27
34-42,43-92
15-83,16-87
09-93,82-93
45-77,76-85
74-98,18-99
07-95,08-94
46-98,97-99
18-42,42-60
15-17,16-35
44-88,64-87
60-61,56-62
46-48,49-58
90-97,06-90
19-20,15-20
